Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
158," Bryant, K",0.583,0.3671,CHC,3B,0.630,102,389,59,106,28,3,13,52,48,107,2,4,0.272,0.374,0.46,0.834
167," Heyward, J",0.583,0.4570,CHC,RF,0.784,127,440,67,119,23,4,8,57,42,60,1,1,0.27,0.335,0.395,0.731
188," La Stella, T",0.583,0.4426,CHC,3B,0.759,123,169,23,45,8,0,1,19,17,27,0,1,0.266,0.34,0.331,0.672
296," Russell, A",0.583,0.4678,CHC,SS,0.802,130,420,52,105,21,1,5,38,40,99,4,0,0.25,0.317,0.34,0.657
305," Contreras, W",0.583,0.4966,CHC,C,0.852,138,474,50,118,27,5,10,54,53,121,4,1,0.249,0.339,0.39,0.73
360," Bote, D",0.583,0.2663,CHC,3B,0.457,74,184,23,44,9,2,6,33,19,60,3,4,0.239,0.319,0.408,0.727
366," Schwarber, K",0.583,0.4930,CHC,LF,0.846,137,428,64,102,14,3,26,61,78,140,4,3,0.238,0.356,0.467,0.823
399," Happ, I",0.583,0.5110,CHC,CF,0.877,142,387,56,90,19,2,15,44,70,167,8,4,0.233,0.353,0.408,0.761
405," Caratini, V",0.583,0.2735,CHC,C,0.469,76,181,21,42,7,0,2,21,12,42,0,0,0.232,0.293,0.304,0.597
535," Gore, T",0.583,0.0504,CHC,CF,0.086,14,5,5,1,0,0,0,0,0,1,6,0,0.2,0.2,0.2,0.4
538," Mills, A",0.583,0.0252,CHC,P,0.043,7,5,0,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4
599," Wilson, B",0.583,0.1691,CHC,C,0.290,47,135,12,24,8,0,2,16,12,37,0,0,0.178,0.242,0.281,0.523
